asset,announcement_date,ex_date,record_date,pay_date,amount_per_share,amount_per_10,currency,source_url,source_sha256,source_type,pay_date_assumed,adjustment_price_date,adjustment_factor,status,message
nasdaq100,,2010-06-25,,2010-06-25,0.089,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2010-06-25,0.9980378756343435,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2010-09-17,,2010-09-17,0.112,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2010-09-17,0.9976716145671306,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2010-12-17,,2010-12-17,0.108,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2010-12-17,0.9980229918888666,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2011-03-18,,2011-03-18,0.077,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2011-03-18,0.9985878555775558,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2011-06-17,,2011-06-17,0.121,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2011-06-17,0.9977555601278931,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2011-09-16,,2011-09-16,0.104,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2011-09-16,0.998165590720004,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2011-12-16,,2011-12-16,0.161,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2011-12-16,0.9970738445645477,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2011-12-27,,2011-12-27,0.049,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2011-12-27,0.9991294924667541,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2012-03-16,,2012-03-16,0.113,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2012-03-16,0.998304143507078,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2012-06-15,2012-06-19,2012-07-31,0.14312,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2012-06-15,0.9977330441423615,applied,
